country,Image URL
Greenland,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg
Guatemala,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/800px-Flag_of_Guatemala.svg.png
Guam,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/820px-Flag_of_Guam.svg.png
Guyana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/800px-Flag_of_Guyana.svg.png
"Hong Kong SAR, China",http://icons.iconarchive.com/icons/wikipedia/flags/1024/HK-Hong-Kong-SAR-China-Flag-icon.png
Honduras,https://cdn.countryflags.com/thumbs/honduras/flag-400.png
Croatia,https://cdn.countryflags.com/thumbs/croatia/flag-400.png
Haiti,https://cdn.countryflags.com/thumbs/haiti/flag-400.png
Hungary,https://cdn.countryflags.com/thumbs/hungary/flag-400.png
Indonesia,https://cdn.countryflags.com/thumbs/indonesia/flag-400.png
Isle of Man,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Isle_of_Man.svg/1280px-Flag_of_the_Isle_of_Man.svg.png
India,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_India.png
Ireland,https://cdn.countryflags.com/thumbs/ireland/flag-400.png
"Iran, Islamic Rep.",https://en.unesco.org/creativity/sites/creativity/files/country/flags/iran_islamic_republic_of.png
Iraq,https://cdn.countryflags.com/thumbs/iraq/flag-400.png
Iceland,https://cdn.countryflags.com/thumbs/iceland/flag-400.png
Israel,https://cdn.countryflags.com/thumbs/israel/flag-400.png
Italy,https://cdn.countryflags.com/thumbs/italy/flag-400.png
Jamaica,https://cdn.countryflags.com/thumbs/jamaica/flag-400.png
Jordan,https://cdn.countryflags.com/thumbs/jordan/flag-400.png
Japan,https://cdn.countryflags.com/thumbs/japan/flag-400.png
Kazakhstan,https://cdn.countryflags.com/thumbs/kazakhstan/flag-400.png
Kenya,https://cdn.countryflags.com/thumbs/kenya/flag-400.png
Kyrgyz Republic,https://cdn.countryflags.com/thumbs/kyrgyzstan/flag-800.png
Cambodia,https://cdn.countryflags.com/thumbs/cambodia/flag-800.png
Kiribati,https://cdn.countryflags.com/thumbs/kiribati/flag-400.png
St. Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/750px-Flag_of_Saint_Kitts_and_Nevis.svg.png
"Korea, Rep.",https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_South_Korea.png
Kuwait,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/800px-Flag_of_Kuwait.svg.png
